,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
108,Slovak Republic,Europe,18.54,0.806603,5450000.0,5700000.0,19100.0,22000.0,222.48,0.011648167539267016,299.72264414307074,0.013623756551957762,0.03769633507853403,0.037636363636363634
109,Slovenia,Europe,31.16,0.7975,2110000.0,2120000.0,25600.0,29100.0,373.92,0.014606250000000001,503.74097041521503,0.01731068626856409,0.028125,0.02845360824742268
110,Spain,Europe,39.38,0.861072,46800000.0,47500000.0,30500.0,31700.0,472.56000000000006,0.01549377049180328,636.6277090805896,0.020082893030933427,0.02360655737704918,0.0261198738170347
111,Sweden,Europe,39.6,0.921417,10200000.0,10700000.0,57900.0,57000.0,475.20000000000005,0.008207253886010363,640.184288460928,0.011231303306332069,0.012435233160621761,0.014526315789473684
112,Switzerland,Europe,72.1,0.896861,8510000.0,8850000.0,86700.0,86500.0,865.1999999999999,0.009979238754325258,1165.5880605563864,0.013475006480420652,0.008304498269896194,0.009572254335260115
113,Turkey,Europe,13.61,0.710428,82800000.0,86300000.0,10900.0,10200.0,163.32,0.01498348623853211,220.0229334836674,0.0215708758317321,0.06605504587155964,0.0811764705882353
114,Ukraine,Europe,6.64,0.588895,44400000.0,37900000.0,2920.0,4150.0,79.67999999999999,0.02728767123287671,107.34403220657985,0.025866031857007192,0.2465753424657534,0.19951807228915663
115,United Kingdom,Europe,35.71,0.948967,66400000.00000001,68000000.0,44200.0,44800.0,428.52,0.009695022624434389,577.2974985085793,0.012886104877423647,0.016289592760180997,0.018482142857142857
116,Antigua and Barbuda,North America,82.14,0.76,91600.0,94800.0,16500.0,15900.0,985.6800000000001,0.05973818181818182,1327.8974104591068,0.08351556040623313,0.04363636363636364,0.052075471698113204
117,Bahamas,North America,82.56,0.85,402000.0,415000.0,32400.0,29700.0,990.72,0.03057777777777778,1334.687243821571,0.044938964438436736,0.022222222222222223,0.027878787878787878
118,Barbados,North America,59.46,0.817608,280000.0,282000.0,17400.0,17100.0,713.52,0.04100689655172414,961.2464088860296,0.05621324028573273,0.041379310344827586,0.04842105263157895
119,Belize,North America,62.54,0.470826,382000.0,417000.0,4810.0,4360.0,750.48,0.15602494802494804,1011.0385202107686,0.23188956885568088,0.1496881496881497,0.18990825688073396
120,Canada,North America,34.86,0.91,37000000.0,39100000.0,46800.0,47700.0,418.32,0.008938461538461537,563.5561690845442,0.011814594739717908,0.015384615384615385,0.017358490566037735
121,Costa Rica,North America,43.22,0.740868,5040000.0,5250000.0,12500.0,12500.0,518.64,0.0414912,698.7061855374067,0.055896494842992535,0.0576,0.06624
122,Dominica,North America,51.43,0.696197,70800.0,73400.0,8020.0,8200.0,617.16,0.07695261845386533,831.4312615036747,0.10139405628093594,0.08977556109725686,0.10097560975609757
123,Dominican Republic,North America,26.52,0.748243,10800000.0,11400000.0,8100.0,8540.0,318.24,0.03928888888888889,428.7294780298942,0.05020251499179089,0.08888888888888889,0.09695550351288056
124,El Salvador,North America,41.96,0.338207,6280000.0,6400000.0,3980.0,4000.0,503.52,0.12651256281407033,678.3366854500138,0.16958417136250345,0.18090452261306533,0.207
125,Grenada,North America,42.55,0.590717,122000.0,127000.0,9960.0,10400.0,510.59999999999997,0.051265060240963854,687.874784697285,0.06614180622089279,0.07228915662650602,0.07961538461538462
126,Guatemala,North America,38.13,0.65,16900000.0,18400000.0,4580.0,4820.0,457.56000000000006,0.09990393013100438,616.4198716923026,0.12788794018512503,0.1572052401746725,0.17178423236514523
127,Haiti,North America,124.5,0.324736,11000000.0,11900000.0,1470.0,1310.0,1494.0,1.0163265306122449,2012.7006038733718,1.5364126747124975,0.4897959183673469,0.6320610687022901
128,Honduras,North America,60.0,0.317,9790000.0,10800000.0,2410.0,2350.0,720.0,0.2987551867219917,969.9761946377697,0.41275582750543394,0.2987551867219917,0.3523404255319149
129,Jamaica,North America,47.57,0.550721,2810000.0,2820000.0,5220.0,5360.0,570.84,0.10935632183908046,769.029459648645,0.14347564545683675,0.13793103448275862,0.15447761194029852
130,Mexico,North America,33.15,0.657726,124000000.0,129000000.0,9560.0,9230.0,397.79999999999995,0.04161087866108786,535.9118475373676,0.05806195531282423,0.07531380753138076,0.08970747562296857
131,Nicaragua,North America,56.5,0.27863,6570000.0,7140000.0,2050.0,1900.0,678.0,0.3307317073170732,913.3942499505664,0.48073381576345603,0.35121951219512193,0.4357894736842105
132,Panama,North America,47.45,0.578651,4170000.0,4530000.0,15100.0,15300.0,569.4000000000001,0.03770860927152318,767.0895072593697,0.05013656910191959,0.04768211920529802,0.05411764705882353
133,Trinidad and Tobago,North America,56.73,0.773261,1500000.0,1540000.0,16700.0,16600.0,680.76,0.04076407185628742,917.1124920300111,0.05524774048373561,0.04311377245508982,0.04987951807228916
